Timestamp,Trend Flags,Status,Value (°C)
26/08/2015 11:46,{ },{ok},113.9 °C
26/08/2015 11:46,{ },{ok},114.5 °C
26/08/2015 11:46,{ },{ok},114.5 °C
26/08/2015 11:46,{ },{ok},114.5 °C
26/08/2015 11:47,{ },{ok},115.1 °C
26/08/2015 11:47,{ },{ok},115.8 °C
26/08/2015 11:47,{ },{ok},115.8 °C
26/08/2015 11:47,{ },{ok},115.8 °C
26/08/2015 11:47,{ },{ok},116.4 °C
26/08/2015 11:47,{ },{ok},116.4 °C
26/08/2015 11:48,{ },{ok},117.1 °C
26/08/2015 11:48,{ },{ok},117.1 °C
26/08/2015 11:48,{ },{ok},117.1 °C
26/08/2015 11:48,{ },{ok},117.1 °C
26/08/2015 11:48,{ },{ok},117.7 °C
26/08/2015 11:48,{ },{ok},117.7 °C
26/08/2015 11:49,{ },{ok},117.7 °C
26/08/2015 11:49,{ },{ok},118.3 °C
26/08/2015 11:49,{ },{ok},118.3 °C
26/08/2015 11:49,{ },{ok},118.3 °C
26/08/2015 11:49,{ },{ok},119.0 °C
26/08/2015 11:49,{ },{ok},118.3 °C
26/08/2015 11:50,{ },{ok},112.0 °C
26/08/2015 11:50,{ },{ok},106.9 °C
26/08/2015 11:50,{ },{ok},104.3 °C
26/08/2015 11:50,{ },{ok},99.9 °C
26/08/2015 11:50,{ },{ok},96.7 °C
26/08/2015 11:50,{ },{ok},93.5 °C
26/08/2015 11:51,{ },{ok},91.6 °C
26/08/2015 11:51,{ },{ok},87.8 °C
26/08/2015 11:51,{ },{ok},85.3 °C
26/08/2015 11:51,{ },{ok},84.6 °C
26/08/2015 11:51,{ },{ok},81.4 °C
26/08/2015 11:51,{ },{ok},80.2 °C
26/08/2015 11:52,{ },{ok},77.6 °C
26/08/2015 11:52,{ },{ok},76.4 °C
26/08/2015 11:52,{ },{ok},73.8 °C
26/08/2015 11:52,{ },{ok},73.2 °C
26/08/2015 11:52,{ },{ok},70.6 °C
26/08/2015 11:52,{ },{ok},70.0 °C
26/08/2015 11:53,{ },{ok},68.1 °C
26/08/2015 11:53,{ },{ok},67.5 °C
26/08/2015 11:53,{ },{ok},66.2 °C
26/08/2015 11:53,{ },{ok},64.9 °C
26/08/2015 11:53,{ },{ok},63.6 °C
26/08/2015 11:53,{ },{ok},63.0 °C
26/08/2015 11:54,{ },{ok},62.4 °C
26/08/2015 11:54,{ },{ok},61.7 °C
26/08/2015 11:54,{ },{ok},61.1 °C
26/08/2015 11:54,{ },{ok},60.5 °C
26/08/2015 11:54,{ },{ok},59.2 °C
26/08/2015 11:54,{ },{ok},59.2 °C
26/08/2015 11:55,{ },{ok},58.6 °C
26/08/2015 11:55,{ },{ok},57.9 °C
26/08/2015 11:55,{ },{ok},57.3 °C
26/08/2015 11:55,{ },{ok},57.3 °C
26/08/2015 11:55,{ },{ok},56.6 °C
26/08/2015 11:55,{ },{ok},56.0 °C
26/08/2015 11:56,{ },{ok},55.4 °C
26/08/2015 11:56,{ },{ok},55.4 °C
26/08/2015 11:56,{ },{ok},54.7 °C
26/08/2015 11:56,{ },{ok},54.7 °C
26/08/2015 11:56,{ },{ok},54.1 °C
26/08/2015 11:56,{ },{ok},54.1 °C
26/08/2015 11:57,{ },{ok},53.5 °C
26/08/2015 11:57,{ },{ok},53.5 °C
26/08/2015 11:57,{ },{ok},52.8 °C
26/08/2015 11:57,{ },{ok},52.8 °C
26/08/2015 11:57,{ },{ok},52.2 °C
26/08/2015 11:57,{ },{ok},52.2 °C
26/08/2015 11:58,{ },{ok},51.6 °C
26/08/2015 11:58,{ },{ok},54.7 °C
26/08/2015 11:58,{ },{ok},82.7 °C
26/08/2015 11:58,{ },{ok},94.2 °C
26/08/2015 11:58,{ },{ok},103.1 °C
26/08/2015 11:58,{ },{ok},106.9 °C
26/08/2015 11:59,{ },{ok},109.4 °C
26/08/2015 11:59,{ },{ok},110.7 °C
26/08/2015 11:59,{ },{ok},104.3 °C
26/08/2015 11:59,{ },{ok},99.9 °C
26/08/2015 11:59,{ },{ok},97.3 °C
26/08/2015 11:59,{ },{ok},93.5 °C
26/08/2015 12:00,{ },{ok},90.3 °C
26/08/2015 12:00,{ },{ok},86.5 °C
26/08/2015 12:00,{ },{ok},84.6 °C
26/08/2015 12:00,{ },{ok},81.4 °C
26/08/2015 12:00,{ },{ok},79.5 °C
26/08/2015 12:00,{ },{ok},76.4 °C
26/08/2015 12:01,{ },{ok},75.1 °C
26/08/2015 12:01,{ },{ok},72.5 °C
26/08/2015 12:01,{ },{ok},71.3 °C
26/08/2015 12:01,{ },{ok},68.7 °C
26/08/2015 12:01,{ },{ok},68.1 °C
26/08/2015 12:01,{ },{ok},66.2 °C
26/08/2015 12:02,{ },{ok},64.9 °C
26/08/2015 12:02,{ },{ok},64.3 °C
26/08/2015 12:02,{ },{ok},75.1 °C
26/08/2015 12:02,{ },{ok},88.4 °C
26/08/2015 12:02,{ },{ok},100.5 °C
26/08/2015 12:02,{ },{ok},105.0 °C
26/08/2015 12:03,{ },{ok},109.4 °C
26/08/2015 12:03,{ },{ok},110.7 °C
26/08/2015 12:03,{ },{ok},112.0 °C
26/08/2015 12:03,{ },{ok},112.6 °C
26/08/2015 12:03,{ },{ok},113.2 °C
26/08/2015 12:03,{ },{ok},113.9 °C
26/08/2015 12:04,{ },{ok},114.5 °C
26/08/2015 12:04,{ },{ok},114.5 °C
26/08/2015 12:04,{ },{ok},115.1 °C
26/08/2015 12:04,{ },{ok},115.8 °C
26/08/2015 12:04,{ },{ok},115.8 °C
26/08/2015 12:04,{ },{ok},116.4 °C
26/08/2015 12:05,{ },{ok},116.4 °C
26/08/2015 12:05,{ },{ok},117.1 °C
26/08/2015 12:05,{ },{ok},117.1 °C
26/08/2015 12:05,{ },{ok},117.1 °C
26/08/2015 12:05,{ },{ok},117.7 °C
26/08/2015 12:05,{ },{ok},117.7 °C
26/08/2015 12:06,{ },{ok},112.6 °C
26/08/2015 12:06,{ },{ok},106.9 °C
26/08/2015 12:06,{ },{ok},103.7 °C
26/08/2015 12:06,{ },{ok},99.9 °C
26/08/2015 12:06,{ },{ok},96.7 °C
26/08/2015 12:06,{ },{ok},92.9 °C
26/08/2015 12:07,{ },{ok},91.0 °C
26/08/2015 12:07,{ },{ok},87.8 °C
26/08/2015 12:07,{ },{ok},85.3 °C
26/08/2015 12:07,{ },{ok},82.7 °C
26/08/2015 12:07,{ },{ok},80.8 °C
26/08/2015 12:07,{ },{ok},78.3 °C
26/08/2015 12:08,{ },{ok},77.0 °C
26/08/2015 12:08,{ },{ok},74.5 °C
26/08/2015 12:08,{ },{ok},73.2 °C
26/08/2015 12:08,{ },{ok},71.9 °C
26/08/2015 12:08,{ },{ok},70.0 °C
26/08/2015 12:08,{ },{ok},69.4 °C
26/08/2015 12:09,{ },{ok},67.5 °C
26/08/2015 12:09,{ },{ok},66.8 °C
26/08/2015 12:09,{ },{ok},64.9 °C
26/08/2015 12:09,{ },{ok},64.3 °C
26/08/2015 12:09,{ },{ok},63.0 °C
26/08/2015 12:09,{ },{ok},62.4 °C
26/08/2015 12:10,{ },{ok},61.1 °C
26/08/2015 12:10,{ },{ok},60.5 °C
26/08/2015 12:10,{ },{ok},59.8 °C
26/08/2015 12:10,{ },{ok},59.2 °C
26/08/2015 12:10,{ },{ok},58.6 °C
26/08/2015 12:10,{ },{ok},57.9 °C
26/08/2015 12:11,{ },{ok},57.3 °C
26/08/2015 12:11,{ },{ok},57.3 °C
26/08/2015 12:11,{ },{ok},56.0 °C
26/08/2015 12:11,{ },{ok},56.0 °C
26/08/2015 12:11,{ },{ok},55.4 °C
26/08/2015 12:11,{ },{ok},54.7 °C
26/08/2015 12:12,{ },{ok},54.7 °C
26/08/2015 12:12,{ },{ok},54.1 °C
26/08/2015 12:12,{ },{ok},53.5 °C
26/08/2015 12:12,{ },{ok},53.5 °C
26/08/2015 12:12,{ },{ok},52.8 °C
26/08/2015 12:12,{ },{ok},52.8 °C
26/08/2015 12:13,{ },{ok},52.8 °C
26/08/2015 12:13,{ },{ok},61.7 °C
26/08/2015 12:13,{ },{ok},80.2 °C
26/08/2015 12:13,{ },{ok},96.7 °C
26/08/2015 12:13,{ },{ok},103.1 °C
26/08/2015 12:13,{ },{ok},103.1 °C
26/08/2015 12:14,{ },{ok},98.6 °C
26/08/2015 12:14,{ },{ok},94.8 °C
26/08/2015 12:14,{ },{ok},92.3 °C
26/08/2015 12:14,{ },{ok},88.4 °C
26/08/2015 12:14,{ },{ok},85.9 °C
26/08/2015 12:14,{ },{ok},82.7 °C
26/08/2015 12:15,{ },{ok},80.8 °C
26/08/2015 12:15,{ },{ok},77.6 °C
26/08/2015 12:15,{ },{ok},75.7 °C
26/08/2015 12:15,{ },{ok},73.2 °C
26/08/2015 12:15,{ },{ok},71.9 °C
26/08/2015 12:15,{ },{ok},70.0 °C
26/08/2015 12:16,{ },{ok},68.1 °C
26/08/2015 12:16,{ },{ok},66.2 °C
26/08/2015 12:16,{ },{ok},68.1 °C
26/08/2015 12:16,{ },{ok},89.1 °C
26/08/2015 12:16,{ },{ok},98.0 °C
26/08/2015 12:16,{ },{ok},103.1 °C
26/08/2015 12:17,{ },{ok},108.2 °C
26/08/2015 12:17,{ },{ok},110.1 °C
26/08/2015 12:17,{ },{ok},111.3 °C
26/08/2015 12:17,{ },{ok},112.6 °C
26/08/2015 12:17,{ },{ok},113.2 °C
26/08/2015 12:17,{ },{ok},113.9 °C
26/08/2015 12:18,{ },{ok},114.5 °C
26/08/2015 12:18,{ },{ok},114.5 °C
26/08/2015 12:18,{ },{ok},115.1 °C
26/08/2015 12:18,{ },{ok},115.1 °C
26/08/2015 12:18,{ },{ok},115.8 °C
26/08/2015 12:18,{ },{ok},115.8 °C
26/08/2015 12:19,{ },{ok},116.4 °C
26/08/2015 12:19,{ },{ok},117.1 °C
26/08/2015 12:19,{ },{ok},117.1 °C
26/08/2015 12:19,{ },{ok},117.7 °C
26/08/2015 12:19,{ },{ok},117.7 °C
26/08/2015 12:19,{ },{ok},112.6 °C
26/08/2015 12:20,{ },{ok},108.2 °C
26/08/2015 12:20,{ },{ok},104.3 °C
26/08/2015 12:20,{ },{ok},101.2 °C
26/08/2015 12:20,{ },{ok},97.3 °C
26/08/2015 12:20,{ },{ok},94.2 °C
26/08/2015 12:20,{ },{ok},91.0 °C
26/08/2015 12:21,{ },{ok},88.4 °C
26/08/2015 12:21,{ },{ok},85.3 °C
26/08/2015 12:21,{ },{ok},83.4 °C
26/08/2015 12:21,{ },{ok},80.2 °C
26/08/2015 12:21,{ },{ok},78.9 °C
26/08/2015 12:21,{ },{ok},76.4 °C
26/08/2015 12:22,{ },{ok},75.1 °C
