Timestamp,Trend Flags,Status,Value (mbar)
26/08/2015 11:42,{ },{ok},7070.0 mbar
26/08/2015 11:42,{ },{ok},6966.0 mbar
26/08/2015 11:42,{ },{ok},6924.0 mbar
26/08/2015 11:43,{ },{ok},7028.0 mbar
26/08/2015 11:43,{ },{ok},7173.0 mbar
26/08/2015 11:43,{ },{ok},7401.0 mbar
26/08/2015 11:43,{ },{ok},7360.0 mbar
26/08/2015 11:43,{ },{ok},7235.0 mbar
26/08/2015 11:43,{ },{ok},7173.0 mbar
26/08/2015 11:44,{ },{ok},7070.0 mbar
26/08/2015 11:44,{ },{ok},6987.0 mbar
26/08/2015 11:44,{ },{ok},6904.0 mbar
26/08/2015 11:44,{ },{ok},7007.0 mbar
26/08/2015 11:44,{ },{ok},7152.0 mbar
26/08/2015 11:44,{ },{ok},7380.0 mbar
26/08/2015 11:45,{ },{ok},7380.0 mbar
26/08/2015 11:45,{ },{ok},7277.0 mbar
26/08/2015 11:45,{ },{ok},7215.0 mbar
26/08/2015 11:45,{ },{ok},7132.0 mbar
26/08/2015 11:45,{ },{ok},7070.0 mbar
26/08/2015 11:45,{ },{ok},6987.0 mbar
26/08/2015 11:46,{ },{ok},6924.0 mbar
26/08/2015 11:46,{ },{ok},6987.0 mbar
26/08/2015 11:46,{ },{ok},7152.0 mbar
26/08/2015 11:46,{ },{ok},7360.0 mbar
26/08/2015 11:46,{ },{ok},7380.0 mbar
26/08/2015 11:46,{ },{ok},7298.0 mbar
26/08/2015 11:47,{ },{ok},7173.0 mbar
26/08/2015 11:47,{ },{ok},7090.0 mbar
26/08/2015 11:47,{ },{ok},6987.0 mbar
26/08/2015 11:47,{ },{ok},6924.0 mbar
26/08/2015 11:47,{ },{ok},7007.0 mbar
26/08/2015 11:47,{ },{ok},7152.0 mbar
26/08/2015 11:48,{ },{ok},7380.0 mbar
26/08/2015 11:48,{ },{ok},7380.0 mbar
26/08/2015 11:48,{ },{ok},7277.0 mbar
26/08/2015 11:48,{ },{ok},7215.0 mbar
26/08/2015 11:48,{ },{ok},7132.0 mbar
