Timestamp,Trend Flags,Status,Value (mbar)
26/08/2015 11:51,{ },{ok},-85.0 mbar
26/08/2015 11:52,{ },{ok},-78.0 mbar
26/08/2015 11:52,{ },{ok},-93.0 mbar
26/08/2015 11:52,{ },{ok},-85.0 mbar
26/08/2015 11:52,{ },{ok},-78.0 mbar
26/08/2015 11:52,{ },{ok},-71.0 mbar
26/08/2015 11:52,{ },{ok},-85.0 mbar
26/08/2015 11:53,{ },{ok},-85.0 mbar
26/08/2015 11:53,{ },{ok},-85.0 mbar
26/08/2015 11:53,{ },{ok},-85.0 mbar
26/08/2015 11:53,{ },{ok},-85.0 mbar
26/08/2015 11:53,{ },{ok},-85.0 mbar
26/08/2015 11:53,{ },{ok},2505.0 mbar
26/08/2015 11:54,{ },{ok},2578.0 mbar
26/08/2015 11:54,{ },{ok},-85.0 mbar
26/08/2015 11:54,{ },{ok},-85.0 mbar
26/08/2015 11:54,{ },{ok},-100.0 mbar
26/08/2015 11:54,{ },{ok},-85.0 mbar
26/08/2015 11:54,{ },{ok},-85.0 mbar
26/08/2015 11:55,{ },{ok},-93.0 mbar
26/08/2015 11:55,{ },{ok},-85.0 mbar
26/08/2015 11:55,{ },{ok},-85.0 mbar
26/08/2015 11:55,{ },{ok},-85.0 mbar
26/08/2015 11:55,{ },{ok},-85.0 mbar
26/08/2015 11:55,{ },{ok},-93.0 mbar
26/08/2015 11:56,{ },{ok},-93.0 mbar
26/08/2015 11:56,{ },{ok},-100.0 mbar
26/08/2015 11:56,{ },{ok},-93.0 mbar
26/08/2015 11:56,{ },{ok},-85.0 mbar
26/08/2015 11:56,{ },{ok},83.0 mbar
26/08/2015 11:56,{ },{ok},-56.0 mbar
26/08/2015 11:57,{ },{ok},-63.0 mbar
26/08/2015 11:57,{ },{ok},-56.0 mbar
26/08/2015 11:57,{ },{ok},-56.0 mbar
26/08/2015 11:57,{ },{ok},-56.0 mbar
26/08/2015 11:57,{ },{ok},-56.0 mbar
26/08/2015 11:57,{ },{ok},-56.0 mbar
26/08/2015 11:58,{ },{ok},-56.0 mbar
26/08/2015 11:58,{ },{ok},-63.0 mbar
26/08/2015 11:58,{ },{ok},32.0 mbar
26/08/2015 11:58,{ },{ok},-78.0 mbar
26/08/2015 11:58,{ },{ok},2300.0 mbar
26/08/2015 11:58,{ },{ok},2527.0 mbar
26/08/2015 11:59,{ },{ok},2541.0 mbar
26/08/2015 11:59,{ },{ok},-71.0 mbar
26/08/2015 11:59,{ },{ok},-85.0 mbar
26/08/2015 11:59,{ },{ok},-100.0 mbar
26/08/2015 11:59,{ },{ok},-85.0 mbar
