history:UCC_Compressor_Data/Dryer Inlet Temperature_DRYER
01-Jan-15 12:00 AM GMT  to  26-Aug-15 2:44 PM BST

Timestamp,Trend Flags,Status,Value (°C)
"26-Aug-15 12:01:10 PM BST","{ }","{ok}","19.8 °C"
"26-Aug-15 12:01:20 PM BST","{ }","{ok}","20.4 °C"
"26-Aug-15 12:01:30 PM BST","{ }","{ok}","20.4 °C"
"26-Aug-15 12:01:40 PM BST","{ }","{ok}","19.8 °C"
"26-Aug-15 12:01:50 PM BST","{ }","{ok}","19.8 °C"
"26-Aug-15 12:02:00 PM BST","{ }","{ok}","19.8 °C"
"26-Aug-15 12:02:10 PM BST","{ }","{ok}","19.8 °C"
"26-Aug-15 12:02:20 PM BST","{ }","{ok}","19.8 °C"
"26-Aug-15 12:02:30 PM BST","{ }","{ok}","19.8 °C"
"26-Aug-15 12:02:40 PM BST","{ }","{ok}","20.4 °C"
"26-Aug-15 12:02:50 PM BST","{ }","{ok}","20.4 °C"
"26-Aug-15 12:03:00 PM BST","{ }","{ok}","20.4 °C"
"26-Aug-15 12:03:10 PM BST","{ }","{ok}","20.4 °C"
"26-Aug-15 12:03:20 PM BST","{ }","{ok}","19.8 °C"
"26-Aug-15 12:03:30 PM BST","{ }","{ok}","19.8 °C"
"26-Aug-15 12:03:40 PM BST","{ }","{ok}","19.8 °C"
"26-Aug-15 12:03:50 PM BST","{ }","{ok}","19.8 °C"
"26-Aug-15 12:04:00 PM BST","{ }","{ok}","19.8 °C"
"26-Aug-15 12:04:10 PM BST","{ }","{ok}","19.8 °C"
"26-Aug-15 12:04:20 PM BST","{ }","{ok}","20.4 °C"
"26-Aug-15 12:04:30 PM BST","{ }","{ok}","20.4 °C"
"26-Aug-15 12:04:40 PM BST","{ }","{ok}","19.8 °C"
"26-Aug-15 12:04:50 PM BST","{ }","{ok}","19.8 °C"
"26-Aug-15 12:05:00 PM BST","{ }","{ok}","19.8 °C"
"26-Aug-15 12:05:10 PM BST","{ }","{ok}","19.8 °C"
"26-Aug-15 12:05:20 PM BST","{ }","{ok}","19.8 °C"
