Timestamp,Trend Flags,Status,Value (s)
26/08/2015 12:04,{ },{ok},265866752.0 s
26/08/2015 12:04,{ },{ok},265866752.0 s
26/08/2015 12:04,{ },{ok},265866768.0 s
26/08/2015 12:04,{ },{ok},265866784.0 s
26/08/2015 12:04,{ },{ok},265866784.0 s
26/08/2015 12:04,{ },{ok},265866800.0 s
26/08/2015 12:05,{ },{ok},265866800.0 s
26/08/2015 12:05,{ },{ok},265866816.0 s
26/08/2015 12:05,{ },{ok},265866816.0 s
26/08/2015 12:05,{ },{ok},265866832.0 s
26/08/2015 12:05,{ },{ok},265866848.0 s
26/08/2015 12:05,{ },{ok},265866848.0 s
26/08/2015 12:06,{ },{ok},265866864.0 s
26/08/2015 12:06,{ },{ok},265866880.0 s
26/08/2015 12:06,{ },{ok},265866880.0 s
26/08/2015 12:06,{ },{ok},265866896.0 s
26/08/2015 12:06,{ },{ok},265866896.0 s
26/08/2015 12:06,{ },{ok},265866912.0 s
26/08/2015 12:07,{ },{ok},265866928.0 s
26/08/2015 12:07,{ },{ok},265866928.0 s
26/08/2015 12:07,{ },{ok},265866944.0 s
26/08/2015 12:07,{ },{ok},265866960.0 s
26/08/2015 12:07,{ },{ok},265866960.0 s
26/08/2015 12:07,{ },{ok},265866976.0 s
26/08/2015 12:08,{ },{ok},265866976.0 s
26/08/2015 12:08,{ },{ok},265866992.0 s
26/08/2015 12:08,{ },{ok},265867008.0 s
26/08/2015 12:08,{ },{ok},265867008.0 s
26/08/2015 12:08,{ },{ok},265867024.0 s
26/08/2015 12:08,{ },{ok},265867040.0 s
26/08/2015 12:09,{ },{ok},265867040.0 s
26/08/2015 12:09,{ },{ok},265867056.0 s
26/08/2015 12:09,{ },{ok},265867072.0 s
26/08/2015 12:09,{ },{ok},265867072.0 s
26/08/2015 12:09,{ },{ok},265867088.0 s
26/08/2015 12:09,{ },{ok},265867104.0 s
26/08/2015 12:10,{ },{ok},265867104.0 s
26/08/2015 12:10,{ },{ok},265867120.0 s
26/08/2015 12:10,{ },{ok},265867120.0 s
26/08/2015 12:10,{ },{ok},265867136.0 s
26/08/2015 12:10,{ },{ok},265867152.0 s
26/08/2015 12:10,{ },{ok},265867152.0 s
26/08/2015 12:11,{ },{ok},265867168.0 s
26/08/2015 12:11,{ },{ok},265867168.0 s
26/08/2015 12:11,{ },{ok},265867184.0 s
26/08/2015 12:11,{ },{ok},265867200.0 s
26/08/2015 12:11,{ },{ok},265867200.0 s
26/08/2015 12:11,{ },{ok},265867216.0 s
26/08/2015 12:12,{ },{ok},265867232.0 s
26/08/2015 12:12,{ },{ok},265867232.0 s
26/08/2015 12:12,{ },{ok},265867248.0 s
26/08/2015 12:12,{ },{ok},265867264.0 s
26/08/2015 12:12,{ },{ok},265867264.0 s
26/08/2015 12:12,{ },{ok},265867280.0 s
26/08/2015 12:13,{ },{ok},265867280.0 s
26/08/2015 12:13,{ },{ok},265867296.0 s
26/08/2015 12:13,{ },{ok},265867312.0 s
26/08/2015 12:13,{ },{ok},265867312.0 s
26/08/2015 12:13,{ },{ok},265867328.0 s
26/08/2015 12:13,{ },{ok},265867344.0 s
26/08/2015 12:14,{ },{ok},265867344.0 s
26/08/2015 12:14,{ },{ok},265867360.0 s
26/08/2015 12:14,{ },{ok},265867360.0 s
26/08/2015 12:14,{ },{ok},265867376.0 s
26/08/2015 12:14,{ },{ok},265867392.0 s
26/08/2015 12:14,{ },{ok},265867392.0 s
26/08/2015 12:15,{ },{ok},265867408.0 s
26/08/2015 12:15,{ },{ok},265867424.0 s
26/08/2015 12:15,{ },{ok},265867424.0 s
26/08/2015 12:15,{ },{ok},265867440.0 s
26/08/2015 12:15,{ },{ok},265867440.0 s
26/08/2015 12:15,{ },{ok},265867456.0 s
26/08/2015 12:16,{ },{ok},265867472.0 s
26/08/2015 12:16,{ },{ok},265867472.0 s
26/08/2015 12:16,{ },{ok},265867488.0 s
26/08/2015 12:16,{ },{ok},265867488.0 s
26/08/2015 12:16,{ },{ok},265867504.0 s
26/08/2015 12:16,{ },{ok},265867520.0 s
26/08/2015 12:17,{ },{ok},265867520.0 s
26/08/2015 12:17,{ },{ok},265867536.0 s
26/08/2015 12:17,{ },{ok},265867552.0 s
26/08/2015 12:17,{ },{ok},265867552.0 s
26/08/2015 12:17,{ },{ok},265867568.0 s
26/08/2015 12:17,{ },{ok},265867568.0 s
26/08/2015 12:18,{ },{ok},265867584.0 s
26/08/2015 12:18,{ },{ok},265867600.0 s
26/08/2015 12:18,{ },{ok},265867600.0 s
26/08/2015 12:18,{ },{ok},265867616.0 s
26/08/2015 12:18,{ },{ok},265867616.0 s
26/08/2015 12:18,{ },{ok},265867632.0 s
26/08/2015 12:19,{ },{ok},265867648.0 s
26/08/2015 12:19,{ },{ok},265867648.0 s
26/08/2015 12:19,{ },{ok},265867664.0 s
26/08/2015 12:19,{ },{ok},265867680.0 s
26/08/2015 12:19,{ },{ok},265867680.0 s
26/08/2015 12:19,{ },{ok},265867696.0 s
26/08/2015 12:20,{ },{ok},265867712.0 s
26/08/2015 12:20,{ },{ok},265867712.0 s
26/08/2015 12:20,{ },{ok},265867728.0 s
26/08/2015 12:20,{ },{ok},265867728.0 s
26/08/2015 12:20,{ },{ok},265867744.0 s
26/08/2015 12:20,{ },{ok},265867760.0 s
26/08/2015 12:21,{ },{ok},265867760.0 s
26/08/2015 12:21,{ },{ok},265867776.0 s
26/08/2015 12:21,{ },{ok},265867792.0 s
26/08/2015 12:21,{ },{ok},265867792.0 s
26/08/2015 12:21,{ },{ok},265867808.0 s
26/08/2015 12:21,{ },{ok},265867808.0 s
26/08/2015 12:22,{ },{ok},265867824.0 s
26/08/2015 12:22,{ },{ok},265867840.0 s
26/08/2015 12:22,{ },{ok},265867840.0 s
26/08/2015 12:22,{ },{ok},265867856.0 s
26/08/2015 12:22,{ },{ok},265867872.0 s
