Timestamp,Trend Flags,Status,Value (s)
26/08/2015 12:03,{ },{ok},250570512.0 s
26/08/2015 12:03,{ },{ok},250570528.0 s
26/08/2015 12:03,{ },{ok},250570544.0 s
26/08/2015 12:03,{ },{ok},250570544.0 s
26/08/2015 12:03,{ },{ok},250570560.0 s
26/08/2015 12:04,{ },{ok},250570560.0 s
26/08/2015 12:04,{ },{ok},250570576.0 s
26/08/2015 12:04,{ },{ok},250570592.0 s
26/08/2015 12:04,{ },{ok},250570592.0 s
26/08/2015 12:04,{ },{ok},250570608.0 s
26/08/2015 12:04,{ },{ok},250570624.0 s
26/08/2015 12:05,{ },{ok},250570624.0 s
26/08/2015 12:05,{ },{ok},250570640.0 s
26/08/2015 12:05,{ },{ok},250570640.0 s
26/08/2015 12:05,{ },{ok},250570656.0 s
26/08/2015 12:05,{ },{ok},250570656.0 s
26/08/2015 12:05,{ },{ok},250570672.0 s
26/08/2015 12:06,{ },{ok},250570688.0 s
26/08/2015 12:06,{ },{ok},250570688.0 s
26/08/2015 12:06,{ },{ok},250570704.0 s
26/08/2015 12:06,{ },{ok},250570720.0 s
26/08/2015 12:06,{ },{ok},250570720.0 s
26/08/2015 12:06,{ },{ok},250570736.0 s
26/08/2015 12:07,{ },{ok},250570752.0 s
26/08/2015 12:07,{ },{ok},250570752.0 s
26/08/2015 12:07,{ },{ok},250570768.0 s
26/08/2015 12:07,{ },{ok},250570768.0 s
26/08/2015 12:07,{ },{ok},250570784.0 s
26/08/2015 12:07,{ },{ok},250570800.0 s
26/08/2015 12:08,{ },{ok},250570800.0 s
26/08/2015 12:08,{ },{ok},250570816.0 s
26/08/2015 12:08,{ },{ok},250570832.0 s
26/08/2015 12:08,{ },{ok},250570832.0 s
26/08/2015 12:08,{ },{ok},250570848.0 s
26/08/2015 12:08,{ },{ok},250570848.0 s
26/08/2015 12:09,{ },{ok},250570864.0 s
26/08/2015 12:09,{ },{ok},250570880.0 s
26/08/2015 12:09,{ },{ok},250570880.0 s
26/08/2015 12:09,{ },{ok},250570896.0 s
26/08/2015 12:09,{ },{ok},250570912.0 s
26/08/2015 12:09,{ },{ok},250570912.0 s
26/08/2015 12:10,{ },{ok},250570928.0 s
26/08/2015 12:10,{ },{ok},250570928.0 s
26/08/2015 12:10,{ },{ok},250570944.0 s
26/08/2015 12:10,{ },{ok},250570960.0 s
26/08/2015 12:10,{ },{ok},250570960.0 s
26/08/2015 12:10,{ },{ok},250570976.0 s
26/08/2015 12:11,{ },{ok},250570992.0 s
26/08/2015 12:11,{ },{ok},250570992.0 s
26/08/2015 12:11,{ },{ok},250571008.0 s
26/08/2015 12:11,{ },{ok},250571008.0 s
26/08/2015 12:11,{ },{ok},250571024.0 s
26/08/2015 12:11,{ },{ok},250571040.0 s
26/08/2015 12:12,{ },{ok},250571040.0 s
26/08/2015 12:12,{ },{ok},250571056.0 s
26/08/2015 12:12,{ },{ok},250571072.0 s
26/08/2015 12:12,{ },{ok},250571072.0 s
26/08/2015 12:12,{ },{ok},250571088.0 s
26/08/2015 12:12,{ },{ok},250571104.0 s
26/08/2015 12:13,{ },{ok},250571104.0 s
26/08/2015 12:13,{ },{ok},250571120.0 s
26/08/2015 12:13,{ },{ok},250571120.0 s
26/08/2015 12:13,{ },{ok},250571136.0 s
26/08/2015 12:13,{ },{ok},250571152.0 s
26/08/2015 12:13,{ },{ok},250571152.0 s
26/08/2015 12:14,{ },{ok},250571168.0 s
26/08/2015 12:14,{ },{ok},250571184.0 s
26/08/2015 12:14,{ },{ok},250571184.0 s
26/08/2015 12:14,{ },{ok},250571200.0 s
