history:UCC_Compressor_Data/Module Seconds_CMP1
01-Jan-15 12:00 AM GMT  to  25-Aug-15 4:15 PM BST

Timestamp,Trend Flags,Status,Value (s)
"22-Aug-15 5:00:00 AM BST","{ }","{ok}","305068032.0 s"
"22-Aug-15 5:05:00 AM BST","{ }","{ok}","305068352.0 s"
"22-Aug-15 5:10:00 AM BST","{ }","{ok}","305068640.0 s"
"22-Aug-15 5:15:00 AM BST","{ }","{ok}","305068928.0 s"
"22-Aug-15 5:20:00 AM BST","{ }","{ok}","305069248.0 s"
"22-Aug-15 5:25:00 AM BST","{ }","{ok}","305069536.0 s"
"22-Aug-15 5:30:00 AM BST","{ }","{ok}","305069824.0 s"
"22-Aug-15 5:35:00 AM BST","{ }","{ok}","305070144.0 s"
"22-Aug-15 5:40:00 AM BST","{ }","{ok}","305070432.0 s"
"22-Aug-15 5:45:00 AM BST","{ }","{ok}","305070752.0 s"
"22-Aug-15 5:50:00 AM BST","{ }","{ok}","305071040.0 s"
"22-Aug-15 5:55:00 AM BST","{ }","{ok}","305071328.0 s"
"22-Aug-15 6:00:00 AM BST","{ }","{ok}","305071648.0 s"
"22-Aug-15 6:05:00 AM BST","{ }","{ok}","305071936.0 s"
"22-Aug-15 6:10:00 AM BST","{ }","{ok}","305072224.0 s"
"22-Aug-15 6:15:00 AM BST","{ }","{ok}","305072544.0 s"
"22-Aug-15 6:20:00 AM BST","{ }","{ok}","305072832.0 s"
"22-Aug-15 6:25:00 AM BST","{ }","{ok}","305073152.0 s"
"22-Aug-15 6:30:00 AM BST","{ }","{ok}","305073440.0 s"
"22-Aug-15 6:35:00 AM BST","{ }","{ok}","305073728.0 s"
"22-Aug-15 6:40:00 AM BST","{ }","{ok}","305074048.0 s"
"22-Aug-15 6:45:00 AM BST","{ }","{ok}","305074336.0 s"
"22-Aug-15 6:50:00 AM BST","{ }","{ok}","305074624.0 s"
"22-Aug-15 6:55:00 AM BST","{ }","{ok}","305074944.0 s"
"22-Aug-15 7:00:00 AM BST","{ }","{ok}","305075232.0 s"
"22-Aug-15 7:05:00 AM BST","{ }","{ok}","305075552.0 s"
