history:UCC_Compressor_Data/Element 1 Outlet Temperature_COMP2,,,
01-Jan-15 12:00 AM GMT  to  25-Aug-15 3:43 PM BST,,,
,,,
Timestamp,Trend Flags,Status,Value (°C)
22-Aug-15 4:30:00 AM BST,{ },{ok},116.4 °C
22-Aug-15 4:35:00 AM BST,{ },{ok},115.8 °C
22-Aug-15 4:40:00 AM BST,{ },{ok},118.3 °C
22-Aug-15 4:45:00 AM BST,{ },{ok},116.4 °C
22-Aug-15 4:50:00 AM BST,{ },{ok},132.3 °C
22-Aug-15 4:55:00 AM BST,{ },{ok},117.7 °C
22-Aug-15 5:00:00 AM BST,{ },{ok},115.8 °C
22-Aug-15 5:05:00 AM BST,{ },{ok},113.9 °C
22-Aug-15 5:10:00 AM BST,{ },{ok},134.9 °C
22-Aug-15 5:15:00 AM BST,{ },{ok},117.1 °C
22-Aug-15 5:20:00 AM BST,{ },{ok},109.4 °C
22-Aug-15 5:25:00 AM BST,{ },{ok},123.4 °C
22-Aug-15 5:30:00 AM BST,{ },{ok},117.1 °C
22-Aug-15 5:35:00 AM BST,{ },{ok},119.0 °C
22-Aug-15 5:40:00 AM BST,{ },{ok},116.4 °C
22-Aug-15 5:45:00 AM BST,{ },{ok},127.2 °C
22-Aug-15 5:50:00 AM BST,{ },{ok},119.0 °C
22-Aug-15 5:55:00 AM BST,{ },{ok},123.4 °C
22-Aug-15 6:00:00 AM BST,{ },{ok},120.9 °C
22-Aug-15 6:05:00 AM BST,{ },{ok},116.4 °C
22-Aug-15 6:10:00 AM BST,{ },{ok},115.8 °C
22-Aug-15 6:15:00 AM BST,{ },{ok},133.6 °C
22-Aug-15 6:20:00 AM BST,{ },{ok},117.7 °C
22-Aug-15 6:25:00 AM BST,{ },{ok},91.0 °C
22-Aug-15 6:30:00 AM BST,{ },{ok},82.1 °C
22-Aug-15 6:35:00 AM BST,{ },{ok},117.1 °C
22-Aug-15 6:40:00 AM BST,{ },{ok},126.0 °C
22-Aug-15 6:45:00 AM BST,{ },{ok},122.1 °C
22-Aug-15 6:50:00 AM BST,{ },{ok},116.4 °C
22-Aug-15 6:55:00 AM BST,{ },{ok},131.0 °C
22-Aug-15 7:00:00 AM BST,{ },{ok},121.5 °C
22-Aug-15 7:05:00 AM BST,{ },{ok},137.4 °C
22-Aug-15 7:10:00 AM BST,{ },{ok},126.6 °C
22-Aug-15 7:15:00 AM BST,{ },{ok},117.7 °C
22-Aug-15 7:20:00 AM BST,{ },{ok},135.5 °C
22-Aug-15 7:25:00 AM BST,{ },{ok},126.6 °C
