history:UCC_Compressor_Data/Module Seconds_COMP2
01-Jan-15 12:00 AM GMT  to  25-Aug-15 3:47 PM BST

Timestamp,Trend Flags,Status,Value (s)
"22-Aug-15 4:35:00 AM BST","{ }","{ok}","305065824.0 s"
"22-Aug-15 4:40:00 AM BST","{ }","{ok}","305066112.0 s"
"22-Aug-15 4:45:00 AM BST","{ }","{ok}","305066432.0 s"
"22-Aug-15 4:50:00 AM BST","{ }","{ok}","305066720.0 s"
"22-Aug-15 4:55:00 AM BST","{ }","{ok}","305067008.0 s"
"22-Aug-15 5:00:00 AM BST","{ }","{ok}","305067328.0 s"
"22-Aug-15 5:05:00 AM BST","{ }","{ok}","305067616.0 s"
"22-Aug-15 5:10:00 AM BST","{ }","{ok}","305067936.0 s"
"22-Aug-15 5:15:00 AM BST","{ }","{ok}","305068224.0 s"
"22-Aug-15 5:20:00 AM BST","{ }","{ok}","305068512.0 s"
"22-Aug-15 5:25:00 AM BST","{ }","{ok}","305068832.0 s"
"22-Aug-15 5:30:00 AM BST","{ }","{ok}","305069120.0 s"
"22-Aug-15 5:35:00 AM BST","{ }","{ok}","305069408.0 s"
"22-Aug-15 5:40:00 AM BST","{ }","{ok}","305069728.0 s"
"22-Aug-15 5:45:00 AM BST","{ }","{ok}","305070016.0 s"
"22-Aug-15 5:50:00 AM BST","{ }","{ok}","305070336.0 s"
"22-Aug-15 5:55:00 AM BST","{ }","{ok}","305070624.0 s"
"22-Aug-15 6:00:00 AM BST","{ }","{ok}","305070912.0 s"
"22-Aug-15 6:05:00 AM BST","{ }","{ok}","305071232.0 s"
"22-Aug-15 6:10:00 AM BST","{ }","{ok}","305071520.0 s"
"22-Aug-15 6:15:00 AM BST","{ }","{ok}","305071808.0 s"
"22-Aug-15 6:20:00 AM BST","{ }","{ok}","305072128.0 s"
"22-Aug-15 6:25:00 AM BST","{ }","{ok}","305072416.0 s"
"22-Aug-15 6:30:00 AM BST","{ }","{ok}","305072736.0 s"
"22-Aug-15 6:35:00 AM BST","{ }","{ok}","305073024.0 s"
"22-Aug-15 6:40:00 AM BST","{ }","{ok}","305073312.0 s"
"22-Aug-15 6:45:00 AM BST","{ }","{ok}","305073632.0 s"
"22-Aug-15 6:50:00 AM BST","{ }","{ok}","305073920.0 s"
"22-Aug-15 6:55:00 AM BST","{ }","{ok}","305074208.0 s"
"22-Aug-15 7:00:00 AM BST","{ }","{ok}","305074528.0 s"
