history:UCC_Compressor_Data/Running Seconds_COMP2
01-Jan-15 12:00 AM GMT  to  25-Aug-15 3:46 PM BST

Timestamp,Trend Flags,Status,Value (s)
"22-Aug-15 4:30:00 AM BST","{ }","{ok}","131606296.0 s"
"22-Aug-15 4:35:00 AM BST","{ }","{ok}","131606496.0 s"
"22-Aug-15 4:40:00 AM BST","{ }","{ok}","131606792.0 s"
"22-Aug-15 4:45:00 AM BST","{ }","{ok}","131607032.0 s"
"22-Aug-15 4:50:00 AM BST","{ }","{ok}","131607240.0 s"
"22-Aug-15 4:55:00 AM BST","{ }","{ok}","131607528.0 s"
"22-Aug-15 5:00:00 AM BST","{ }","{ok}","131607768.0 s"
"22-Aug-15 5:05:00 AM BST","{ }","{ok}","131607968.0 s"
"22-Aug-15 5:10:00 AM BST","{ }","{ok}","131608216.0 s"
"22-Aug-15 5:15:00 AM BST","{ }","{ok}","131608520.0 s"
"22-Aug-15 5:20:00 AM BST","{ }","{ok}","131608744.0 s"
"22-Aug-15 5:25:00 AM BST","{ }","{ok}","131609000.0 s"
"22-Aug-15 5:30:00 AM BST","{ }","{ok}","131609240.0 s"
"22-Aug-15 5:35:00 AM BST","{ }","{ok}","131609536.0 s"
"22-Aug-15 5:40:00 AM BST","{ }","{ok}","131609752.0 s"
"22-Aug-15 5:45:00 AM BST","{ }","{ok}","131610008.0 s"
"22-Aug-15 5:50:00 AM BST","{ }","{ok}","131610288.0 s"
"22-Aug-15 5:55:00 AM BST","{ }","{ok}","131610576.0 s"
"22-Aug-15 6:00:00 AM BST","{ }","{ok}","131610776.0 s"
"22-Aug-15 6:05:00 AM BST","{ }","{ok}","131611040.0 s"
"22-Aug-15 6:10:00 AM BST","{ }","{ok}","131611272.0 s"
"22-Aug-15 6:15:00 AM BST","{ }","{ok}","131611480.0 s"
"22-Aug-15 6:20:00 AM BST","{ }","{ok}","131611760.0 s"
"22-Aug-15 6:25:00 AM BST","{ }","{ok}","131611984.0 s"
"22-Aug-15 6:30:00 AM BST","{ }","{ok}","131612176.0 s"
"22-Aug-15 6:35:00 AM BST","{ }","{ok}","131612480.0 s"
"22-Aug-15 6:40:00 AM BST","{ }","{ok}","131612736.0 s"
"22-Aug-15 6:45:00 AM BST","{ }","{ok}","131612936.0 s"
"22-Aug-15 6:50:00 AM BST","{ }","{ok}","131613208.0 s"
"22-Aug-15 6:55:00 AM BST","{ }","{ok}","131613504.0 s"
"22-Aug-15 7:00:00 AM BST","{ }","{ok}","131613720.0 s"
"22-Aug-15 7:05:00 AM BST","{ }","{ok}","131614000.0 s"
"22-Aug-15 7:10:00 AM BST","{ }","{ok}","131614216.0 s"
"22-Aug-15 7:15:00 AM BST","{ }","{ok}","131614496.0 s"
"22-Aug-15 7:20:00 AM BST","{ }","{ok}","131614712.0 s"
"22-Aug-15 7:25:00 AM BST","{ }","{ok}","131614920.0 s"
"22-Aug-15 7:30:00 AM BST","{ }","{ok}","131615208.0 s"
"22-Aug-15 7:35:00 AM BST","{ }","{ok}","131615424.0 s"
"22-Aug-15 7:40:00 AM BST","{ }","{ok}","131615728.0 s"
"22-Aug-15 7:45:00 AM BST","{ }","{ok}","131615992.0 s"
"22-Aug-15 7:50:00 AM BST","{ }","{ok}","131616208.0 s"
"22-Aug-15 7:55:00 AM BST","{ }","{ok}","131616432.0 s"
"22-Aug-15 8:00:00 AM BST","{ }","{ok}","131616712.0 s"
"22-Aug-15 8:05:00 AM BST","{ }","{ok}","131617016.0 s"
"22-Aug-15 8:10:00 AM BST","{ }","{ok}","131617200.0 s"
"22-Aug-15 8:15:00 AM BST","{ }","{ok}","131617488.0 s"
"22-Aug-15 8:20:00 AM BST","{ }","{ok}","131617792.0 s"
"22-Aug-15 8:25:00 AM BST","{ }","{ok}","131617984.0 s"
"22-Aug-15 8:30:00 AM BST","{ }","{ok}","131618240.0 s"
"22-Aug-15 8:35:00 AM BST","{ }","{ok}","131618472.0 s"
"22-Aug-15 8:40:00 AM BST","{ }","{ok}","131618680.0 s"
"22-Aug-15 8:45:00 AM BST","{ }","{ok}","131618960.0 s"
"22-Aug-15 8:50:00 AM BST","{ }","{ok}","131619208.0 s"
"22-Aug-15 8:55:00 AM BST","{ }","{ok}","131619400.0 s"
"22-Aug-15 9:00:00 AM BST","{ }","{ok}","131619688.0 s"
"22-Aug-15 9:05:00 AM BST","{ }","{ok}","131619968.0 s"
"22-Aug-15 9:10:00 AM BST","{ }","{ok}","131620176.0 s"
"22-Aug-15 9:15:00 AM BST","{ }","{ok}","131620456.0 s"
"22-Aug-15 9:20:00 AM BST","{ }","{ok}","131620744.0 s"
"22-Aug-15 9:25:00 AM BST","{ }","{ok}","131620944.0 s"
"22-Aug-15 9:30:00 AM BST","{ }","{ok}","131621232.0 s"
"22-Aug-15 9:35:00 AM BST","{ }","{ok}","131621536.0 s"
"22-Aug-15 9:40:00 AM BST","{ }","{ok}","131621736.0 s"
"22-Aug-15 9:45:00 AM BST","{ }","{ok}","131621960.0 s"
"22-Aug-15 9:50:00 AM BST","{ }","{ok}","131622256.0 s"
