history:UCC_Compressor_Data/Running Seconds_CMP1
01-Jan-15 12:00 AM GMT  to  26-Aug-15 2:30 PM BST

Timestamp,Trend Flags,Status,Value (s)
"26-Aug-15 11:46:40 AM BST","{ }","{ok}","34804272.0 s"
"26-Aug-15 11:46:50 AM BST","{ }","{ok}","34804284.0 s"
"26-Aug-15 11:47:00 AM BST","{ }","{ok}","34804292.0 s"
"26-Aug-15 11:47:10 AM BST","{ }","{ok}","34804300.0 s"
"26-Aug-15 11:47:20 AM BST","{ }","{ok}","34804312.0 s"
"26-Aug-15 11:47:30 AM BST","{ }","{ok}","34804320.0 s"
"26-Aug-15 11:47:40 AM BST","{ }","{ok}","34804336.0 s"
"26-Aug-15 11:47:50 AM BST","{ }","{ok}","34804344.0 s"
"26-Aug-15 11:48:00 AM BST","{ }","{ok}","34804352.0 s"
"26-Aug-15 11:48:10 AM BST","{ }","{ok}","34804360.0 s"
"26-Aug-15 11:48:20 AM BST","{ }","{ok}","34804376.0 s"
"26-Aug-15 11:48:30 AM BST","{ }","{ok}","34804384.0 s"
"26-Aug-15 11:48:40 AM BST","{ }","{ok}","34804396.0 s"
"26-Aug-15 11:48:50 AM BST","{ }","{ok}","34804404.0 s"
"26-Aug-15 11:49:00 AM BST","{ }","{ok}","34804416.0 s"
"26-Aug-15 11:49:10 AM BST","{ }","{ok}","34804424.0 s"
"26-Aug-15 11:49:20 AM BST","{ }","{ok}","34804432.0 s"
"26-Aug-15 11:49:30 AM BST","{ }","{ok}","34804444.0 s"
"26-Aug-15 11:49:40 AM BST","{ }","{ok}","34804452.0 s"
"26-Aug-15 11:49:50 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:50:00 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:50:10 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:50:20 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:50:30 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:50:40 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:50:50 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:51:00 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:51:10 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:51:20 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:51:30 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:51:40 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:51:50 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:52:00 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:52:10 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:52:20 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:52:30 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:52:40 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:52:50 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:53:00 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:53:10 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:53:20 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:53:30 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:53:40 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:53:50 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:54:00 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:54:10 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:54:20 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:54:30 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:54:40 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:54:50 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:55:00 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:55:10 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:55:20 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:55:30 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:55:40 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:55:50 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:56:00 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:56:10 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:56:20 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:56:30 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:56:40 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:56:50 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:57:00 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:57:10 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:57:20 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:57:30 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:57:40 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:57:50 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:58:00 AM BST","{ }","{ok}","34804460.0 s"
"26-Aug-15 11:58:10 AM BST","{ }","{ok}","34804464.0 s"
"26-Aug-15 11:58:20 AM BST","{ }","{ok}","34804476.0 s"
"26-Aug-15 11:58:30 AM BST","{ }","{ok}","34804488.0 s"
"26-Aug-15 11:58:40 AM BST","{ }","{ok}","34804496.0 s"
"26-Aug-15 11:58:50 AM BST","{ }","{ok}","34804504.0 s"
