history:UCC_Compressor_Data/Module Seconds_CMP1
01-Jan-15 12:00 AM GMT  to  26-Aug-15 2:31 PM BST

Timestamp,Trend Flags,Status,Value (s)
"26-Aug-15 11:48:00 AM BST","{ }","{ok}","305438144.0 s"
"26-Aug-15 11:48:10 AM BST","{ }","{ok}","305438144.0 s"
"26-Aug-15 11:48:20 AM BST","{ }","{ok}","305438144.0 s"
"26-Aug-15 11:48:30 AM BST","{ }","{ok}","305438176.0 s"
"26-Aug-15 11:48:40 AM BST","{ }","{ok}","305438176.0 s"
"26-Aug-15 11:48:50 AM BST","{ }","{ok}","305438176.0 s"
"26-Aug-15 11:49:00 AM BST","{ }","{ok}","305438208.0 s"
"26-Aug-15 11:49:10 AM BST","{ }","{ok}","305438208.0 s"
"26-Aug-15 11:49:20 AM BST","{ }","{ok}","305438208.0 s"
"26-Aug-15 11:49:30 AM BST","{ }","{ok}","305438208.0 s"
"26-Aug-15 11:49:40 AM BST","{ }","{ok}","305438240.0 s"
"26-Aug-15 11:49:50 AM BST","{ }","{ok}","305438240.0 s"
"26-Aug-15 11:50:00 AM BST","{ }","{ok}","305438240.0 s"
"26-Aug-15 11:50:10 AM BST","{ }","{ok}","305438272.0 s"
"26-Aug-15 11:50:20 AM BST","{ }","{ok}","305438272.0 s"
"26-Aug-15 11:50:30 AM BST","{ }","{ok}","305438272.0 s"
"26-Aug-15 11:50:40 AM BST","{ }","{ok}","305438272.0 s"
"26-Aug-15 11:50:50 AM BST","{ }","{ok}","305438304.0 s"
"26-Aug-15 11:51:00 AM BST","{ }","{ok}","305438304.0 s"
"26-Aug-15 11:51:10 AM BST","{ }","{ok}","305438336.0 s"
"26-Aug-15 11:51:20 AM BST","{ }","{ok}","305438336.0 s"
"26-Aug-15 11:51:30 AM BST","{ }","{ok}","305438336.0 s"
"26-Aug-15 11:51:40 AM BST","{ }","{ok}","305438336.0 s"
"26-Aug-15 11:51:50 AM BST","{ }","{ok}","305438368.0 s"
"26-Aug-15 11:52:00 AM BST","{ }","{ok}","305438368.0 s"
"26-Aug-15 11:52:10 AM BST","{ }","{ok}","305438368.0 s"
"26-Aug-15 11:52:20 AM BST","{ }","{ok}","305438400.0 s"
"26-Aug-15 11:52:30 AM BST","{ }","{ok}","305438400.0 s"
"26-Aug-15 11:52:40 AM BST","{ }","{ok}","305438400.0 s"
"26-Aug-15 11:52:50 AM BST","{ }","{ok}","305438432.0 s"
"26-Aug-15 11:53:00 AM BST","{ }","{ok}","305438432.0 s"
"26-Aug-15 11:53:10 AM BST","{ }","{ok}","305438432.0 s"
"26-Aug-15 11:53:20 AM BST","{ }","{ok}","305438464.0 s"
"26-Aug-15 11:53:30 AM BST","{ }","{ok}","305438464.0 s"
"26-Aug-15 11:53:40 AM BST","{ }","{ok}","305438464.0 s"
"26-Aug-15 11:53:50 AM BST","{ }","{ok}","305438464.0 s"
"26-Aug-15 11:54:00 AM BST","{ }","{ok}","305438496.0 s"
"26-Aug-15 11:54:10 AM BST","{ }","{ok}","305438496.0 s"
"26-Aug-15 11:54:20 AM BST","{ }","{ok}","305438496.0 s"
"26-Aug-15 11:54:30 AM BST","{ }","{ok}","305438528.0 s"
"26-Aug-15 11:54:40 AM BST","{ }","{ok}","305438528.0 s"
"26-Aug-15 11:54:50 AM BST","{ }","{ok}","305438528.0 s"
"26-Aug-15 11:55:00 AM BST","{ }","{ok}","305438560.0 s"
"26-Aug-15 11:55:10 AM BST","{ }","{ok}","305438560.0 s"
"26-Aug-15 11:55:20 AM BST","{ }","{ok}","305438560.0 s"
"26-Aug-15 11:55:30 AM BST","{ }","{ok}","305438592.0 s"
"26-Aug-15 11:55:40 AM BST","{ }","{ok}","305438592.0 s"
"26-Aug-15 11:55:50 AM BST","{ }","{ok}","305438592.0 s"
"26-Aug-15 11:56:00 AM BST","{ }","{ok}","305438624.0 s"
"26-Aug-15 11:56:10 AM BST","{ }","{ok}","305438624.0 s"
"26-Aug-15 11:56:20 AM BST","{ }","{ok}","305438624.0 s"
"26-Aug-15 11:56:30 AM BST","{ }","{ok}","305438656.0 s"
"26-Aug-15 11:56:40 AM BST","{ }","{ok}","305438656.0 s"
"26-Aug-15 11:56:50 AM BST","{ }","{ok}","305438656.0 s"
"26-Aug-15 11:57:00 AM BST","{ }","{ok}","305438688.0 s"
"26-Aug-15 11:57:10 AM BST","{ }","{ok}","305438688.0 s"
"26-Aug-15 11:57:20 AM BST","{ }","{ok}","305438688.0 s"
"26-Aug-15 11:57:30 AM BST","{ }","{ok}","305438688.0 s"
"26-Aug-15 11:57:40 AM BST","{ }","{ok}","305438720.0 s"
"26-Aug-15 11:57:50 AM BST","{ }","{ok}","305438720.0 s"
"26-Aug-15 11:58:00 AM BST","{ }","{ok}","305438720.0 s"
"26-Aug-15 11:58:10 AM BST","{ }","{ok}","305438752.0 s"
"26-Aug-15 11:58:20 AM BST","{ }","{ok}","305438752.0 s"
"26-Aug-15 11:58:30 AM BST","{ }","{ok}","305438752.0 s"
"26-Aug-15 11:58:40 AM BST","{ }","{ok}","305438784.0 s"
"26-Aug-15 11:58:50 AM BST","{ }","{ok}","305438784.0 s"
"26-Aug-15 11:59:00 AM BST","{ }","{ok}","305438784.0 s"
"26-Aug-15 11:59:10 AM BST","{ }","{ok}","305438816.0 s"
"26-Aug-15 11:59:20 AM BST","{ }","{ok}","305438816.0 s"
"26-Aug-15 11:59:30 AM BST","{ }","{ok}","305438816.0 s"
"26-Aug-15 11:59:40 AM BST","{ }","{ok}","305438816.0 s"
"26-Aug-15 11:59:50 AM BST","{ }","{ok}","305438848.0 s"
"26-Aug-15 12:00:00 PM BST","{ }","{ok}","305438848.0 s"
"26-Aug-15 12:00:10 PM BST","{ }","{ok}","305438848.0 s"
"26-Aug-15 12:00:20 PM BST","{ }","{ok}","305438880.0 s"
"26-Aug-15 12:00:30 PM BST","{ }","{ok}","305438880.0 s"
