history:UCC_Compressor_Data/Running Seconds_COMP2
01-Jan-15 12:00 AM GMT  to  26-Aug-15 2:37 PM BST

Timestamp,Trend Flags,Status,Value (s)
"26-Aug-15 11:53:50 AM BST","{ }","{ok}","131925984.0 s"
"26-Aug-15 11:54:00 AM BST","{ }","{ok}","131926000.0 s"
"26-Aug-15 11:54:10 AM BST","{ }","{ok}","131926000.0 s"
"26-Aug-15 11:54:20 AM BST","{ }","{ok}","131926016.0 s"
"26-Aug-15 11:54:30 AM BST","{ }","{ok}","131926024.0 s"
"26-Aug-15 11:54:40 AM BST","{ }","{ok}","131926032.0 s"
"26-Aug-15 11:54:50 AM BST","{ }","{ok}","131926040.0 s"
"26-Aug-15 11:55:00 AM BST","{ }","{ok}","131926048.0 s"
"26-Aug-15 11:55:10 AM BST","{ }","{ok}","131926064.0 s"
"26-Aug-15 11:55:20 AM BST","{ }","{ok}","131926072.0 s"
"26-Aug-15 11:55:30 AM BST","{ }","{ok}","131926080.0 s"
"26-Aug-15 11:55:40 AM BST","{ }","{ok}","131926088.0 s"
"26-Aug-15 11:55:50 AM BST","{ }","{ok}","131926104.0 s"
"26-Aug-15 11:56:00 AM BST","{ }","{ok}","131926112.0 s"
"26-Aug-15 11:56:10 AM BST","{ }","{ok}","131926120.0 s"
"26-Aug-15 11:56:20 AM BST","{ }","{ok}","131926136.0 s"
"26-Aug-15 11:56:30 AM BST","{ }","{ok}","131926144.0 s"
"26-Aug-15 11:56:40 AM BST","{ }","{ok}","131926152.0 s"
"26-Aug-15 11:56:50 AM BST","{ }","{ok}","131926152.0 s"
"26-Aug-15 11:57:00 AM BST","{ }","{ok}","131926152.0 s"
"26-Aug-15 11:57:10 AM BST","{ }","{ok}","131926152.0 s"
"26-Aug-15 11:57:20 AM BST","{ }","{ok}","131926152.0 s"
"26-Aug-15 11:57:30 AM BST","{ }","{ok}","131926152.0 s"
"26-Aug-15 11:57:40 AM BST","{ }","{ok}","131926152.0 s"
"26-Aug-15 11:57:50 AM BST","{ }","{ok}","131926152.0 s"
"26-Aug-15 11:58:00 AM BST","{ }","{ok}","131926152.0 s"
"26-Aug-15 11:58:10 AM BST","{ }","{ok}","131926152.0 s"
