history:UCC_Compressor_Data/Module Seconds_DRYER
26-Aug-15 12:00 AM BST  to  26-Aug-15 11:59 PM BST

Timestamp,Trend Flags,Status,Value (s)
"26-Aug-15 12:04:00 PM BST","{ }","{ok}","265866752.0 s"
"26-Aug-15 12:04:10 PM BST","{ }","{ok}","265866752.0 s"
"26-Aug-15 12:04:20 PM BST","{ }","{ok}","265866768.0 s"
"26-Aug-15 12:04:30 PM BST","{ }","{ok}","265866784.0 s"
"26-Aug-15 12:04:40 PM BST","{ }","{ok}","265866784.0 s"
"26-Aug-15 12:04:50 PM BST","{ }","{ok}","265866800.0 s"
"26-Aug-15 12:05:00 PM BST","{ }","{ok}","265866800.0 s"
"26-Aug-15 12:05:10 PM BST","{ }","{ok}","265866816.0 s"
"26-Aug-15 12:05:20 PM BST","{ }","{ok}","265866816.0 s"
"26-Aug-15 12:05:30 PM BST","{ }","{ok}","265866832.0 s"
"26-Aug-15 12:05:40 PM BST","{ }","{ok}","265866848.0 s"
"26-Aug-15 12:05:50 PM BST","{ }","{ok}","265866848.0 s"
"26-Aug-15 12:06:00 PM BST","{ }","{ok}","265866864.0 s"
"26-Aug-15 12:06:10 PM BST","{ }","{ok}","265866880.0 s"
"26-Aug-15 12:06:20 PM BST","{ }","{ok}","265866880.0 s"
"26-Aug-15 12:06:30 PM BST","{ }","{ok}","265866896.0 s"
"26-Aug-15 12:06:40 PM BST","{ }","{ok}","265866896.0 s"
"26-Aug-15 12:06:50 PM BST","{ }","{ok}","265866912.0 s"
"26-Aug-15 12:07:00 PM BST","{ }","{ok}","265866928.0 s"
"26-Aug-15 12:07:10 PM BST","{ }","{ok}","265866928.0 s"
"26-Aug-15 12:07:20 PM BST","{ }","{ok}","265866944.0 s"
"26-Aug-15 12:07:30 PM BST","{ }","{ok}","265866960.0 s"
"26-Aug-15 12:07:40 PM BST","{ }","{ok}","265866960.0 s"
"26-Aug-15 12:07:50 PM BST","{ }","{ok}","265866976.0 s"
"26-Aug-15 12:08:00 PM BST","{ }","{ok}","265866976.0 s"
"26-Aug-15 12:08:10 PM BST","{ }","{ok}","265866992.0 s"
"26-Aug-15 12:08:20 PM BST","{ }","{ok}","265867008.0 s"
"26-Aug-15 12:08:30 PM BST","{ }","{ok}","265867008.0 s"
"26-Aug-15 12:08:40 PM BST","{ }","{ok}","265867024.0 s"
"26-Aug-15 12:08:50 PM BST","{ }","{ok}","265867040.0 s"
"26-Aug-15 12:09:00 PM BST","{ }","{ok}","265867040.0 s"
"26-Aug-15 12:09:10 PM BST","{ }","{ok}","265867056.0 s"
"26-Aug-15 12:09:20 PM BST","{ }","{ok}","265867072.0 s"
"26-Aug-15 12:09:30 PM BST","{ }","{ok}","265867072.0 s"
"26-Aug-15 12:09:40 PM BST","{ }","{ok}","265867088.0 s"
"26-Aug-15 12:09:50 PM BST","{ }","{ok}","265867104.0 s"
"26-Aug-15 12:10:00 PM BST","{ }","{ok}","265867104.0 s"
"26-Aug-15 12:10:10 PM BST","{ }","{ok}","265867120.0 s"
"26-Aug-15 12:10:20 PM BST","{ }","{ok}","265867120.0 s"
"26-Aug-15 12:10:30 PM BST","{ }","{ok}","265867136.0 s"
"26-Aug-15 12:10:40 PM BST","{ }","{ok}","265867152.0 s"
"26-Aug-15 12:10:50 PM BST","{ }","{ok}","265867152.0 s"
"26-Aug-15 12:11:00 PM BST","{ }","{ok}","265867168.0 s"
"26-Aug-15 12:11:10 PM BST","{ }","{ok}","265867168.0 s"
"26-Aug-15 12:11:20 PM BST","{ }","{ok}","265867184.0 s"
"26-Aug-15 12:11:30 PM BST","{ }","{ok}","265867200.0 s"
"26-Aug-15 12:11:40 PM BST","{ }","{ok}","265867200.0 s"
"26-Aug-15 12:11:50 PM BST","{ }","{ok}","265867216.0 s"
"26-Aug-15 12:12:00 PM BST","{ }","{ok}","265867232.0 s"
"26-Aug-15 12:12:10 PM BST","{ }","{ok}","265867232.0 s"
"26-Aug-15 12:12:20 PM BST","{ }","{ok}","265867248.0 s"
"26-Aug-15 12:12:30 PM BST","{ }","{ok}","265867264.0 s"
"26-Aug-15 12:12:40 PM BST","{ }","{ok}","265867264.0 s"
"26-Aug-15 12:12:50 PM BST","{ }","{ok}","265867280.0 s"
"26-Aug-15 12:13:00 PM BST","{ }","{ok}","265867280.0 s"
"26-Aug-15 12:13:10 PM BST","{ }","{ok}","265867296.0 s"
