history:UCC_Compressor_Data/Outlet Pressure_CMP1
16-Jul-15 1:45 AM BST  to  ?

Timestamp,Trend Flags,Status,Value (mbar)
"16-Jul-15 1:45:00 AM BST","{start}","{ok}","7.0 mbar"
"16-Jul-15 1:50:00 AM BST","{ }","{ok}","7.2 mbar"
"16-Jul-15 1:55:00 AM BST","{ }","{ok}","7.0 mbar"
"16-Jul-15 2:00:00 AM BST","{ }","{ok}","6.9 mbar"
"16-Jul-15 2:05:00 AM BST","{ }","{ok}","7.0 mbar"
"16-Jul-15 2:10:00 AM BST","{ }","{ok}","6.8 mbar"
"16-Jul-15 2:15:00 AM BST","{ }","{ok}","6.9 mbar"
"16-Jul-15 2:20:00 AM BST","{ }","{ok}","7.4 mbar"
"16-Jul-15 2:25:00 AM BST","{ }","{ok}","7.2 mbar"
"16-Jul-15 2:30:00 AM BST","{ }","{ok}","7.1 mbar"
"16-Jul-15 2:35:00 AM BST","{ }","{ok}","7.4 mbar"
"16-Jul-15 2:40:00 AM BST","{ }","{ok}","7.4 mbar"
"16-Jul-15 2:45:00 AM BST","{ }","{ok}","7.1 mbar"
"16-Jul-15 2:50:00 AM BST","{ }","{ok}","6.9 mbar"
"16-Jul-15 2:55:00 AM BST","{ }","{ok}","6.9 mbar"
"16-Jul-15 3:00:00 AM BST","{ }","{ok}","6.9 mbar"
"16-Jul-15 3:05:00 AM BST","{ }","{ok}","7.4 mbar"
"16-Jul-15 3:10:00 AM BST","{ }","{ok}","7.2 mbar"
"16-Jul-15 3:15:00 AM BST","{ }","{ok}","7.3 mbar"
"16-Jul-15 3:20:00 AM BST","{ }","{ok}","7.4 mbar"
"16-Jul-15 3:25:00 AM BST","{ }","{ok}","7194.0 mbar"
"16-Jul-15 3:30:00 AM BST","{ }","{ok}","6945.0 mbar"
"16-Jul-15 3:35:00 AM BST","{ }","{ok}","7049.0 mbar"
