Timest,Element2OutletTemp,Element2InletTemp,Element1OutletTemp,IntercoolerPressure,ConverterCabTemp,OilPressure,OutletPressure,AccumulatedVolume,ModuleSeconds,MotorStarts,RunningSeconds,VSD_1_20,VSD_20_40,VSD_40_60,VSD_60_80,VSD_80_100,InletDryerTemperature,DryerVesselAPressure,DryerVesselBpressure,I1,I2,I3,KW,KVA,KVAR,PF,AV_VOLTS,In,V1,V2,V3,Hz,DeltaAccumulatedVolume,DeltaModuleSeconds,DeltaMotorStarts,DeltaRunningSeconds,DeltaVSD_1_20,DeltaVSD_20_40,DeltaVSD_40_60,DeltaVSD_60_80,DeltaVSD_80_100,MachineRunning,MachineLoaded,PlantroomPressure,PlantroomTemperature
26-Aug-2015 12:31:20,87.8,19.8,142.5,-93,28.7,3017,7422,3508000,305440000,556357,131928136,3006794,128654888,258640,7912,0,20.4,7422,7401,17.8,11.1,24,8.25,12.45,9.32,0.66,407.09,11.2,235.5,233.5,236.1,50,0,0,0,0,0,0,0,0,0,1,0,0,21.2588947455727
26-Aug-2015 12:31:30,77,20.4,136.8,-85,28.7,3017,7360,3508000,305440032,556357,131928144,3006794,128654896,258640,7912,0,20.4,7339,7318,18.4,10.8,23.7,8.24,12.45,9.34,0.66,407.15,11.2,235.4,233.6,236.2,50,0,32,0,8,0,8,0,0,0,1,0,0,21.6231677483025
26-Aug-2015 12:31:40,71.9,20.4,131.7,-78,28.7,2988,7277,3508000,305440032,556357,131928152,3006794,128654904,258640,7912,0,19.8,7256,7215,17.5,11.5,24.2,8.27,12.52,9.4,0.66,407.03,11.2,235.5,233.4,236.1,49.9,0,0,0,8,0,8,0,0,0,1,0,0,18.507947265174
26-Aug-2015 12:31:50,69.4,20.4,128.5,-85,28.7,3010,7173,3508000,305440032,556357,131928160,3006794,128654912,258640,7912,0,20.4,7152,7132,17.1,11.8,24.6,8.28,12.59,9.48,0.66,406.97,11.6,235.4,233.4,236.1,50,0,0,0,8,0,8,0,0,0,1,0,0,21.6535034245561
26-Aug-2015 12:32:00,67.5,20.4,126.6,-93,28.7,3010,7090,3508000,305440032,556357,131928168,3006794,128654928,258640,7912,0,19.8,7070,7049,16.5,13.2,23.4,8.26,12.49,9.37,0.66,407.03,9.6,235.4,233.2,236.4,50,0,0,0,8,0,16,0,0,0,1,0,0,20.5294369849016
26-Aug-2015 12:32:10,68.7,21.7,124,2168,28.7,3024,7007,3508000,305440064,556357,131928184,3006794,128654936,258640,7912,0,19.8,7111,7090,43,29.6,46.6,20.23,27.97,19.31,0.72,405.93,12.8,234.3,232.6,236.2,50,0,32,0,16,0,8,0,0,0,1,1,0,18.3901616199976
26-Aug-2015 12:32:20,94.2,21.7,131.7,2520,28.7,3017,7173,3508000,305440064,556357,131928192,3006794,128654944,258640,7912,0,19.8,7298,7277,43.6,29.8,47.4,20.44,28.34,19.63,0.72,405.88,13.5,234.2,232.5,236.3,50,0,0,0,8,0,8,0,0,0,1,1,0,19.1139928754682
26-Aug-2015 12:32:30,105,21,138.7,2520,28.7,3017,7360,3508000,305440064,556357,131928200,3006794,128654960,258640,7912,0,20.4,7484,7443,42,31.6,48.5,20.62,28.65,19.9,0.72,406.05,13,234.3,232.7,236.3,50,0,0,0,8,0,16,0,0,0,1,1,0,20.1875260768199
26-Aug-2015 12:32:40,107.5,20.4,143.8,237,28.7,3010,7505,3508000,305440096,556357,131928216,3006794,128654960,258640,7912,0,20.4,7505,7505,19.6,11.1,24.8,8.57,13.05,9.84,0.66,406.74,11.9,235.2,233.3,236,50,0,32,0,16,0,0,0,0,0,1,1,0,21.8300273417372
26-Aug-2015 12:32:50,89.7,19.8,143.1,-85,28.7,3017,7401,3508000,305440096,556357,131928224,3006794,128654976,258640,7912,0,20.4,7401,7380,17.9,11.6,24.2,8.36,12.63,9.47,0.66,406.86,11.2,235.4,233.3,236,49.9,0,0,0,8,0,16,0,0,0,1,0,0,21.8595541407971
26-Aug-2015 12:33:00,84,20.4,139.3,-78,28.7,3017,7298,3508000,305440096,556357,131928232,3006794,128654984,258640,7912,0,20.4,7298,7277,18,11.4,24.2,8.36,12.61,9.44,0.66,406.92,11.2,235.5,233.3,236,49.9,0,0,0,8,0,8,0,0,0,1,0,0,18.6304523267102
26-Aug-2015 12:33:10,77.6,20.4,134.2,-78,28.7,3046,7235,3508000,305440128,556357,131928248,3006794,128654992,258640,7912,0,19.8,7215,7194,18,11.7,24.8,8.42,12.82,9.67,0.66,406.86,11.6,235.3,233.3,236.1,49.9,0,32,0,16,0,8,0,0,0,1,1,0,21.8823711270425
26-Aug-2015 12:33:20,73.8,20.4,130.4,-85,28.7,3010,7152,3508000,305440128,556357,131928256,3006794,128655008,258640,7912,0,19.8,7132,7111,17.1,13.3,23.8,8.4,12.75,9.59,0.66,406.8,10,235.1,233.1,236.4,50,0,0,0,8,0,16,0,0,0,1,0,0,21.8286677929718
26-Aug-2015 12:33:30,71.9,21,127.9,-85,28.7,3002,7070,3508000,305440128,556357,131928264,3006794,128655016,258640,7912,0,19.8,7028,7007,17.4,12.2,24.4,8.43,12.7,9.5,0.66,406.86,10.9,235.3,233.3,236.1,50,0,0,0,8,0,8,0,0,0,1,1,0,19.9415025948914
26-Aug-2015 12:33:40,74.5,22.3,125.3,2300,28.7,3024,6987,3508000,305440160,556357,131928272,3006794,128655024,258640,7912,0,19.8,7111,7090,40.6,31.8,47.2,20.22,28.06,19.46,0.72,405.99,12.1,234.4,232.7,236.1,49.9,0,32,0,8,0,8,0,0,0,1,1,0,21.2011218755552
26-Aug-2015 12:33:50,96.7,21.7,132.3,2505,28.7,3010,7173,3508000,305440160,556357,131928280,3006794,128655040,258640,7912,0,19.8,7298,7277,39.1,35.6,47.5,20.6,28.68,19.95,0.72,406.17,10.1,234.3,232.9,236.3,50,0,0,0,8,0,16,0,0,0,1,1,0,18.5675453545089
26-Aug-2015 12:34:00,106.9,21,139.9,2527,28.7,3010,7380,3508000,305440160,556357,131928296,3006794,128655048,258640,7912,0,20.4,7463,7443,39.4,36.6,47.1,20.76,28.88,20.08,0.72,406.11,9.5,234.3,232.8,236.3,50,0,0,0,16,0,8,0,0,0,1,1,0,19.6870451305051
26-Aug-2015 12:34:10,107.5,20.4,144.4,237,28.7,3010,7526,3508000,305440192,556357,131928304,3006794,128655056,258640,7912,0,20.4,7505,7484,18.3,12.2,24.7,8.58,12.99,9.75,0.66,406.97,11.2,235.5,233.2,236.2,50,0,32,0,8,0,8,0,0,0,1,1,0,21.6629421007563
26-Aug-2015 12:34:20,87.8,20.4,143.1,-85,28.7,3010,7422,3508000,305440192,556357,131928312,3006794,128655064,258640,7912,0,20.4,7443,7422,17.5,12.5,23.7,8.28,12.64,9.55,0.66,407.03,10.3,235.3,233.2,236.5,49.9,0,0,0,8,0,8,0,0,0,1,0,0,21.1688293182382
26-Aug-2015 12:34:30,77.6,20.4,136.8,-85,28.7,3010,7318,3508000,305440192,556357,131928328,3006794,128655072,258640,7912,0,20.4,7339,7298,17.1,13.4,23.1,8.29,12.61,9.51,0.66,407.09,9.4,235.2,233.2,236.7,49.9,0,0,0,16,0,8,0,0,0,1,0,0,21.8379697055716
