"Timest";"Element2OutletTemp";"Element2InletTemp";"Element 1 OutletTemp";"IntercoolerPressure";"ConverterCabTemp";"Oil Pressure";"Outlet Pressure";"Accumulated Volume";"Module Seconds";"Motor Starts";"Running Seconds";"VSD_1_20";"VSD_20_40";"VSD_40_60";"VSD_60_80";"VSD_80_100";"Inlet Dryer Temperature";"DryerVesselAPressure";"Dryer Vessel Bpressure";"I1";"I2";"I3";"KW";"KVA";"KVAR";"PF";"AV_VOLTS";"In";"V1";"V2";"V3";"Hz";"Delta Accumulated Volume";"Delta Module Seconds";"Delta Motor Starts";"Delta Running Seconds";"Delta VSD_1_20";"Delta VSD_20_40";"Delta VSD_40_60";"Delta VSD_60_80";"Delta VSD_80_100"
1.44058868E12;87.8;19.8;142.5;-93.0;28.7;3017.0;7422.0;3508000.0;3.0544E8;556357.0;1.31928136E8;3006794.0;1.28654888E8;258640.0;7912.0;0.0;20.4;7422.0;7401.0;17.8;11.1;24.0;8.25;12.45;9.32;0.66;407.09;11.2;235.5;233.5;236.1;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.44058869E12;77.0;20.4;136.8;-85.0;28.7;3017.0;7360.0;3508000.0;3.05440032E8;556357.0;1.31928144E8;3006794.0;1.28654896E8;258640.0;7912.0;0.0;20.4;7339.0;7318.0;18.4;10.8;23.7;8.24;12.45;9.34;0.66;407.15;11.2;235.4;233.6;236.2;50.0;0.0;32.0;0.0;8.0;0.0;8.0;0.0;0.0;0.0
1.4405887E12;71.9;20.4;131.7;-78.0;28.7;2988.0;7277.0;3508000.0;3.05440032E8;556357.0;1.31928152E8;3006794.0;1.28654904E8;258640.0;7912.0;0.0;19.8;7256.0;7215.0;17.5;11.5;24.2;8.27;12.52;9.4;0.66;407.03;11.2;235.5;233.4;236.1;49.9;0.0;0.0;0.0;8.0;0.0;8.0;0.0;0.0;0.0
1.44058871E12;69.4;20.4;128.5;-85.0;28.7;3010.0;7173.0;3508000.0;3.05440032E8;556357.0;1.3192816E8;3006794.0;1.28654912E8;258640.0;7912.0;0.0;20.4;7152.0;7132.0;17.1;11.8;24.6;8.28;12.59;9.48;0.66;406.97;11.6;235.4;233.4;236.1;50.0;0.0;0.0;0.0;8.0;0.0;8.0;0.0;0.0;0.0
1.44058872E12;67.5;20.4;126.6;-93.0;28.7;3010.0;7090.0;3508000.0;3.05440032E8;556357.0;1.31928168E8;3006794.0;1.28654928E8;258640.0;7912.0;0.0;19.8;7070.0;7049.0;16.5;13.2;23.4;8.26;12.49;9.37;0.66;407.03;9.6;235.4;233.2;236.4;50.0;0.0;0.0;0.0;8.0;0.0;16.0;0.0;0.0;0.0
1.44058873E12;68.7;21.7;124.0;2168.0;28.7;3024.0;7007.0;3508000.0;3.05440064E8;556357.0;1.31928184E8;3006794.0;1.28654936E8;258640.0;7912.0;0.0;19.8;7111.0;7090.0;43.0;29.6;46.6;20.23;27.97;19.31;0.72;405.93;12.8;234.3;232.6;236.2;50.0;0.0;32.0;0.0;16.0;0.0;8.0;0.0;0.0;0.0
1.44058874E12;94.2;21.7;131.7;2520.0;28.7;3017.0;7173.0;3508000.0;3.05440064E8;556357.0;1.31928192E8;3006794.0;1.28654944E8;258640.0;7912.0;0.0;19.8;7298.0;7277.0;43.6;29.8;47.4;20.44;28.34;19.63;0.72;405.88;13.5;234.2;232.5;236.3;50.0;0.0;0.0;0.0;8.0;0.0;8.0;0.0;0.0;0.0
1.44058875E12;105.0;21.0;138.7;2520.0;28.7;3017.0;7360.0;3508000.0;3.05440064E8;556357.0;1.319282E8;3006794.0;1.2865496E8;258640.0;7912.0;0.0;20.4;7484.0;7443.0;42.0;31.6;48.5;20.62;28.65;19.9;0.72;406.05;13.0;234.3;232.7;236.3;50.0;0.0;0.0;0.0;8.0;0.0;16.0;0.0;0.0;0.0
1.44058876E12;107.5;20.4;143.8;237.0;28.7;3010.0;7505.0;3508000.0;3.05440096E8;556357.0;1.31928216E8;3006794.0;1.2865496E8;258640.0;7912.0;0.0;20.4;7505.0;7505.0;19.6;11.1;24.8;8.57;13.05;9.84;0.66;406.74;11.9;235.2;233.3;236.0;50.0;0.0;32.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0
1.44058877E12;89.7;19.8;143.1;-85.0;28.7;3017.0;7401.0;3508000.0;3.05440096E8;556357.0;1.31928224E8;3006794.0;1.28654976E8;258640.0;7912.0;0.0;20.4;7401.0;7380.0;17.9;11.6;24.2;8.36;12.63;9.47;0.66;406.86;11.2;235.4;233.3;236.0;49.9;0.0;0.0;0.0;8.0;0.0;16.0;0.0;0.0;0.0
1.44058878E12;84.0;20.4;139.3;-78.0;28.7;3017.0;7298.0;3508000.0;3.05440096E8;556357.0;1.31928232E8;3006794.0;1.28654984E8;258640.0;7912.0;0.0;20.4;7298.0;7277.0;18.0;11.4;24.2;8.36;12.61;9.44;0.66;406.92;11.2;235.5;233.3;236.0;49.9;0.0;0.0;0.0;8.0;0.0;8.0;0.0;0.0;0.0
1.44058879E12;77.6;20.4;134.2;-78.0;28.7;3046.0;7235.0;3508000.0;3.05440128E8;556357.0;1.31928248E8;3006794.0;1.28654992E8;258640.0;7912.0;0.0;19.8;7215.0;7194.0;18.0;11.7;24.8;8.42;12.82;9.67;0.66;406.86;11.6;235.3;233.3;236.1;49.9;0.0;32.0;0.0;16.0;0.0;8.0;0.0;0.0;0.0
1.4405888E12;73.8;20.4;130.4;-85.0;28.7;3010.0;7152.0;3508000.0;3.05440128E8;556357.0;1.31928256E8;3006794.0;1.28655008E8;258640.0;7912.0;0.0;19.8;7132.0;7111.0;17.1;13.3;23.8;8.4;12.75;9.59;0.66;406.8;10.0;235.1;233.1;236.4;50.0;0.0;0.0;0.0;8.0;0.0;16.0;0.0;0.0;0.0
1.44058881E12;71.9;21.0;127.9;-85.0;28.7;3002.0;7070.0;3508000.0;3.05440128E8;556357.0;1.31928264E8;3006794.0;1.28655016E8;258640.0;7912.0;0.0;19.8;7028.0;7007.0;17.4;12.2;24.4;8.43;12.7;9.5;0.66;406.86;10.9;235.3;233.3;236.1;50.0;0.0;0.0;0.0;8.0;0.0;8.0;0.0;0.0;0.0
1.44058882E12;74.5;22.3;125.3;2300.0;28.7;3024.0;6987.0;3508000.0;3.0544016E8;556357.0;1.31928272E8;3006794.0;1.28655024E8;258640.0;7912.0;0.0;19.8;7111.0;7090.0;40.6;31.8;47.2;20.22;28.06;19.46;0.72;405.99;12.1;234.4;232.7;236.1;49.9;0.0;32.0;0.0;8.0;0.0;8.0;0.0;0.0;0.0
1.44058883E12;96.7;21.7;132.3;2505.0;28.7;3010.0;7173.0;3508000.0;3.0544016E8;556357.0;1.3192828E8;3006794.0;1.2865504E8;258640.0;7912.0;0.0;19.8;7298.0;7277.0;39.1;35.6;47.5;20.6;28.68;19.95;0.72;406.17;10.1;234.3;232.9;236.3;50.0;0.0;0.0;0.0;8.0;0.0;16.0;0.0;0.0;0.0
1.44058884E12;106.9;21.0;139.9;2527.0;28.7;3010.0;7380.0;3508000.0;3.0544016E8;556357.0;1.31928296E8;3006794.0;1.28655048E8;258640.0;7912.0;0.0;20.4;7463.0;7443.0;39.4;36.6;47.1;20.76;28.88;20.08;0.72;406.11;9.5;234.3;232.8;236.3;50.0;0.0;0.0;0.0;16.0;0.0;8.0;0.0;0.0;0.0
1.44058885E12;107.5;20.4;144.4;237.0;28.7;3010.0;7526.0;3508000.0;3.05440192E8;556357.0;1.31928304E8;3006794.0;1.28655056E8;258640.0;7912.0;0.0;20.4;7505.0;7484.0;18.3;12.2;24.7;8.58;12.99;9.75;0.66;406.97;11.2;235.5;233.2;236.2;50.0;0.0;32.0;0.0;8.0;0.0;8.0;0.0;0.0;0.0
1.44058886E12;87.8;20.4;143.1;-85.0;28.7;3010.0;7422.0;3508000.0;3.05440192E8;556357.0;1.31928312E8;3006794.0;1.28655064E8;258640.0;7912.0;0.0;20.4;7443.0;7422.0;17.5;12.5;23.7;8.28;12.64;9.55;0.66;407.03;10.3;235.3;233.2;236.5;49.9;0.0;0.0;0.0;8.0;0.0;8.0;0.0;0.0;0.0
1.44058887E12;77.6;20.4;136.8;-85.0;28.7;3010.0;7318.0;3508000.0;3.05440192E8;556357.0;1.31928328E8;3006794.0;1.28655072E8;258640.0;7912.0;0.0;20.4;7339.0;7298.0;17.1;13.4;23.1;8.29;12.61;9.51;0.66;407.09;9.4;235.2;233.2;236.7;49.9;0.0;0.0;0.0;16.0;0.0;8.0;0.0;0.0;0.0
1.44058888E12;75.1;20.4;134.2;-85.0;28.7;2980.0;7277.0;3508000.0;3.05440224E8;556357.0;1.31928336E8;3006794.0;1.28655088E8;258640.0;7912.0;0.0;20.4;7235.0;7215.0;17.4;14.1;21.6;8.17;12.49;9.45;0.65;407.03;7.4;234.9;233.2;236.9;50.0;0.0;32.0;0.0;8.0;0.0;16.0;0.0;0.0;0.0
1.44058889E12;71.3;21.0;130.4;-85.0;28.7;3010.0;7194.0;3508000.0;3.05440224E8;556357.0;1.31928344E8;3006794.0;1.28655096E8;258640.0;7912.0;0.0;20.4;7173.0;7132.0;17.0;14.4;21.3;8.17;12.41;9.34;0.66;407.44;6.8;235.2;233.4;237.1;49.9;0.0;0.0;0.0;8.0;0.0;8.0;0.0;0.0;0.0
1.4405889E12;69.4;20.4;127.9;-85.0;28.7;3010.0;7090.0;3508000.0;3.05440224E8;556357.0;1.3192836E8;3006794.0;1.28655104E8;258640.0;7912.0;0.0;20.4;7070.0;7049.0;16.9;14.6;21.6;8.21;12.52;9.45;0.66;407.84;7.1;235.4;233.7;237.3;49.9;0.0;0.0;0.0;16.0;0.0;8.0;0.0;0.0;0.0
1.44058891E12;68.1;21.0;126.0;1254.0;28.7;3024.0;7007.0;3508000.0;3.05440224E8;556357.0;1.3192836E8;3006794.0;1.2865512E8;258640.0;7912.0;0.0;19.8;7090.0;7070.0;38.9;37.3;43.4;20.24;28.21;19.65;0.72;408.36;6.8;235.6;234.0;237.7;50.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0
1.44058892E12;92.9;21.7;130.4;2527.0;28.7;3010.0;7152.0;3508000.0;3.05440256E8;556357.0;1.31928376E8;3006794.0;1.28655128E8;258640.0;7912.0;0.0;20.4;7277.0;7256.0;41.5;37.7;42.6;20.6;28.71;19.99;0.72;408.13;5.6;235.4;234.1;237.4;49.9;0.0;32.0;0.0;16.0;0.0;8.0;0.0;0.0;0.0
1.44058893E12;105.0;21.0;138.7;2549.0;28.7;3010.0;7360.0;3508000.0;3.05440256E8;556357.0;1.31928384E8;3006794.0;1.28655136E8;258640.0;7912.0;0.0;20.4;7463.0;7443.0;41.6;37.8;43.1;20.76;28.88;20.07;0.72;408.19;6.0;235.4;234.1;237.5;49.9;0.0;0.0;0.0;8.0;0.0;8.0;0.0;0.0;0.0
1.44058894E12;108.8;20.4;143.8;361.0;28.7;3010.0;7526.0;3508000.0;3.05440256E8;556357.0;1.31928392E8;3006794.0;1.28655152E8;258640.0;7912.0;0.0;20.4;7526.0;7505.0;20.3;15.6;22.2;8.95;13.75;10.44;0.65;409.51;6.0;236.2;234.8;238.3;50.0;0.0;0.0;0.0;8.0;0.0;16.0;0.0;0.0;0.0
1.44058895E12;88.4;19.8;143.8;-85.0;28.7;3010.0;7443.0;3508000.0;3.05440288E8;556357.0;1.31928408E8;3006794.0;1.28655152E8;258640.0;7912.0;0.0;20.4;7443.0;7422.0;19.5;13.4;20.5;8.13;12.63;9.67;0.64;409.46;6.2;236.1;234.9;238.2;50.0;0.0;32.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0
1.44058896E12;82.1;20.4;139.9;-85.0;28.7;3017.0;7360.0;3508000.0;3.05440288E8;556357.0;1.31928416E8;3006794.0;1.28655168E8;258640.0;7912.0;0.0;20.4;7380.0;7360.0;19.2;13.6;20.7;8.1;12.66;9.73;0.64;409.46;6.3;236.2;234.9;238.1;50.0;0.0;0.0;0.0;8.0;0.0;16.0;0.0;0.0;0.0
1.44058897E12;75.1;20.4;134.9;-78.0;28.7;3010.0;7277.0;3508000.0;3.05440288E8;556357.0;1.31928424E8;3006794.0;1.28655176E8;258640.0;7912.0;0.0;20.4;7298.0;7277.0;18.9;14.0;20.5;8.07;12.63;9.72;0.64;409.34;5.7;235.9;234.9;238.2;49.9;0.0;0.0;0.0;8.0;0.0;8.0;0.0;0.0;0.0
1.44058898E12;71.3;20.4;130.4;-93.0;28.7;3010.0;7256.0;3508000.0;3.0544032E8;556357.0;1.31928432E8;3006794.0;1.28655184E8;258640.0;7912.0;0.0;20.4;7256.0;7215.0;19.4;13.4;20.7;8.06;12.65;9.74;0.64;409.05;6.3;235.9;234.7;237.9;50.0;0.0;32.0;0.0;8.0;0.0;8.0;0.0;0.0;0.0
