P_Id,"YYYY-MM-DD HH:MM:SS Time","Machine Running","Vessel A (Bar)","Vessel B (Bar)","Inlet Dryer (degC)","Dryer P Dewpoint (degC)","Emergency Stop","Rem. Start/Stop","Running Hours","Module Hours"
1,"2015-07-16 10:15:00",Yes,7.3,7.3,20,-21,closed,open,68617,72866
2,"2015-07-16 10:26:00",No,7.5,7.5,20,-21,closed,open,68617,72866
3,"2015-07-16 10:36:00",No,7.5,7.5,20,-20,closed,open,68617,72866
4,"2015-07-16 10:46:00",No,7.3,7.3,20,-20,closed,open,68617,72866
5,"2015-07-16 10:56:00",No,7.1,7.1,20,-22,closed,open,68617,72866
6,"2015-07-16 11:17:00",No,7.5,7.5,20,-22,closed,open,68618,72867
7,"2015-07-16 11:28:00",No,7.6,7.6,20,-22,closed,open,68618,72867
8,"2015-07-16 11:40:00",No,7.4,7.4,20,-22,closed,open,68618,72867
9,"2015-07-16 11:46:00",No,7.1,7.1,20,-22,closed,open,68618,72867
10,"2015-07-16 11:52:00",No,7.2,7.2,20,-21,closed,open,68618,72867
11,"2015-07-16 12:25:00",No,7.3,7.3,20,-21,closed,open,68619,72868
12,"2015-07-16 12:30:00",No,7.2,7.2,20,-21,closed,open,68619,72868
13,"2015-07-16 12:38:00",No,7.2,7.1,20,-21,closed,open,68619,72868
14,"2015-07-16 12:45:00",No,7.2,7.1,20,-21,closed,open,68619,72868
15,"2015-07-16 12:51:00",No,7.4,7.4,20,-20,closed,open,68619,72868
16,"2015-07-16 13:29:00",Yes,7,7,20,-21,closed,open,68620,72869
17,"2015-07-16 13:36:00",Yes,7.1,7.1,20,-21,closed,open,68620,72869
18,"2015-07-16 13:43:00",Yes,7.5,7.5,21,-20,closed,open,68620,72869
19,"2015-07-16 13:49:00",Yes,7.3,7.3,20,-22,closed,open,68620,72869
20,"2015-07-16 13:56:00",Yes,7,7,21,-22,closed,open,68620,72869
21,"2015-07-16 14:22:00",Yes,7,7,20,-21,closed,open,68621,72870
22,"2015-07-16 14:28:00",Yes,7.1,7.1,21,-21,closed,open,68621,72870
23,"2015-07-16 14:56:00",No,7.1,7,20,-21,Closed,Open,68621,72870
24,"2015-07-16 14:57:00",Yes,7.5,7.4,21,-21,Closed,Open,68621,72870
25,"2015-07-16 14:59:00",No,7.2,7.2,20,-21,Closed,Open,68621,72870
26,"2015-07-16 15:19:00",Yes,7.1,7.1,21,-20,Closed,Open,68622,72871
27,"2015-07-16 15:29:00",Yes,7,7,21,-23,Closed,Open,68622,72871
28,"2015-07-16 15:41:00",Yes,7.3,7.3,21,-22,Closed,Open,68622,72871
29,"2015-07-16 15:46:00",Yes,7.2,7.2,21,-22,Closed,Open,68622,72871
30,"2015-07-16 16:00:00",Yes,7.3,7.3,22,-21,Closed,Open,68622,72871
31,"2015-07-16 16:05:00",Yes,7.2,7.2,21,-21,Closed,Open,68623,72871
32,"2015-07-16 16:32:00",Yes,7,0.5,21,-21,closed,open,68623,72872
33,"2015-07-16 16:39:00",Yes,7.2,7.2,22,-22,closed,open,68623,72872
34,"2015-07-16 16:44:00",Yes,7.5,7.5,22,-22,closed,open,68623,72872
35,"2015-07-16 16:50:00",Yes,7.2,7.2,22,-21,closed,open,68623,72872
36,"2015-07-16 17:11:00",Yes,7.3,7.3,21,-21,closed,open,68624,72873
37,"2015-07-16 17:16:00",Yes,7.3,7.3,21,-21,closed,open,68624,72873
38,"2015-07-16 17:20:00",Yes,7.4,7.4,21,-20,closed,open,68624,72873
39,"2015-07-16 17:27:00",No,7.3,7.3,21,-21,closed,open,68624,72873
40,"2015-07-16 17:48:00",Yes,0.9,7,21,-21,closed,open,68624,72873
41,"2015-07-16 17:53:00",Yes,7.5,7.5,21,-23,closed,open,68624,72873
42,"2015-07-16 18:00:00",Yes,7.3,7.2,21,-23,closed,open,68624,72873
43,"2015-07-16 18:10:00",Yes,7.3,7.3,21,-23,closed,open,68625,72874
44,"2015-07-16 18:15:00",Yes,7.2,7.2,21,-23,closed,open,68625,72874
45,"2015-07-16 18:20:00",Yes,7.1,7.1,21,-23,closed,open,68625,72874
46,"2015-07-16 18:47:00",Yes,7.2,7.2,21,-23,closed,open,68625,72874
47,"2015-07-16 18:53:00",Yes,7.3,7.3,21,-22,closed,open,68625,72874
48,"2015-07-16 18:58:00",Yes,7.2,7.2,21,-23,closed,open,68625,72874
49,"2015-07-16 19:04:00",Yes,7.4,7.4,22,-22,closed,open,68625,72874
50,"2015-07-16 19:11:00",Yes,7.3,7.3,21,-22,closed,open,68626,72875
51,"2015-07-17 09:31:00",Yes,7.1,7.1,19,-22,Closed,Open,68640,72899
